key_nohemi	key	region	name	name_full	hemi
3	3	cortex	ACC	anterior_cingulate_cortex	rh
11	11	cortex	MCC	midcingulate_cortex	rh
17	17	cortex	med_OFC	medial_orbital_frontal_cortex	rh
25	25	cortex	lat_OFC	lateral_orbital_frontal_cortex	rh
37	37	cortex	caudal_OFC	caudal_orbital_frontal_cortex	rh
51	51	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	rh
54	54	cortex	dlPFC	dorsolateral_prefrontal_cortex	rh
64	64	cortex	vlPFC	ventrolateral_prefrontal_cortex	rh
78	78	cortex	M1/PM	lateral_motor_cortex	rh
87	87	cortex	SMA/preSMA	medial_supplementary_motor_areas	rh
92	92	cortex	SI	primary_somatosensory_cortex	rh
95	95	cortex	SII	secondary_somatosensory_cortex	rh
97	97	cortex	V6/V6A	visual_areas_V6_and_V6A	rh
102	102	cortex	area_5	area_5	rh
107	107	cortex	vm_IPS	ventromedial_intraparietal_sulcus	rh
113	113	cortex	lat_IPS	lateral_intraparietal_sulcus	rh
119	119	cortex	MST	medial_superior_temporal_area	rh
120	120	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	rh
126	126	cortex	area_7m	area_7_(PGm)_on_the_medial_wall	rh
127	127	cortex	PCgG	posterior_cingulate_gyrus	rh
140	140	cortex	HC	hippocampus	rh
148	148	cortex	paraHipp	parahippocampal_cortex	rh
153	153	cortex	Rh	rhinal_cortex	rh
165	165	cortex	TG	temporal_pole	rh
176	176	cortex	TEO	area_TEO	rh
177	177	cortex	TE	area_TE	rh
188	188	cortex	STSf	fundus_of_the_superior_temporal_sulcus	rh
194	194	cortex	STGr/STSd	rostral_superior_temporal_region	rh
199	199	cortex	STGc	caudal_superior_temporal_gyrus	rh
205	205	cortex	belt	belt_areas_of_auditory_cortex	rh
218	218	cortex	RTp	polar_rostrotemporal_cortex	rh
219	219	cortex	core	core_areas_of_auditory_cortex	rh
224	224	cortex	floor_of_ls	floor_of_the_lateral_sulcus	rh
232	232	cortex	MT	middle_temporal_area	rh
234	234	cortex	V4	visual_area_4	rh
237	237	cortex	V2-V3	preoccipital_visual_areas_2-3	rh
246	246	cortex	V1	primary_visual_cortex	rh
3	1003	cortex	ACC	anterior_cingulate_cortex	lh
11	1011	cortex	MCC	midcingulate_cortex	lh
17	1017	cortex	med_OFC	medial_orbital_frontal_cortex	lh
25	1025	cortex	lat_OFC	lateral_orbital_frontal_cortex	lh
37	1037	cortex	caudal_OFC	caudal_orbital_frontal_cortex	lh
51	1051	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	lh
54	1054	cortex	dlPFC	dorsolateral_prefrontal_cortex	lh
64	1064	cortex	vlPFC	ventrolateral_prefrontal_cortex	lh
78	1078	cortex	M1/PM	lateral_motor_cortex	lh
87	1087	cortex	SMA/preSMA	medial_supplementary_motor_areas	lh
92	1092	cortex	SI	primary_somatosensory_cortex	lh
95	1095	cortex	SII	secondary_somatosensory_cortex	lh
97	1097	cortex	V6/V6A	visual_areas_V6_and_V6A	lh
102	1102	cortex	area_5	area_5	lh
107	1107	cortex	vm_IPS	ventromedial_intraparietal_sulcus	lh
113	1113	cortex	lat_IPS	lateral_intraparietal_sulcus	lh
119	1119	cortex	MST	medial_superior_temporal_area	lh
120	1120	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	lh
126	1126	cortex	area_7m	area_7_(PGm)_on_the_medial_wall	lh
127	1127	cortex	PCgG	posterior_cingulate_gyrus	lh
140	1140	cortex	HC	hippocampus	lh
148	1148	cortex	paraHipp	parahippocampal_cortex	lh
153	1153	cortex	Rh	rhinal_cortex	lh
165	1165	cortex	TG	temporal_pole	lh
176	1176	cortex	TEO	area_TEO	lh
177	1177	cortex	TE	area_TE	lh
188	1188	cortex	STSf	fundus_of_the_superior_temporal_sulcus	lh
194	1194	cortex	STGr/STSd	rostral_superior_temporal_region	lh
199	1199	cortex	STGc	caudal_superior_temporal_gyrus	lh
205	1205	cortex	belt	belt_areas_of_auditory_cortex	lh
218	1218	cortex	RTp	polar_rostrotemporal_cortex	lh
219	1219	cortex	core	core_areas_of_auditory_cortex	lh
224	1224	cortex	floor_of_ls	floor_of_the_lateral_sulcus	lh
232	1232	cortex	MT	middle_temporal_area	lh
234	1234	cortex	V4	visual_area_4	lh
237	1237	cortex	V2-V3	preoccipital_visual_areas_2-3	lh
246	1246	cortex	V1	primary_visual_cortex	lh
503	503	subcortex	LPal	lateral_pallium	rh
505	505	subcortex	VPal	ventral_pallium	rh
511	511	subcortex	HF	hippocampal_formation	rh
515	515	subcortex	f	fornix	rh
517	517	subcortex	pAmy	pallial_amygdala	rh
532	532	subcortex	spAmy	subpallial_amygdala	rh
543	543	subcortex	Str	striatum	rh
554	554	subcortex	Pd	pallidum	rh
561	561	subcortex	DSP	diagonal_subpallium	rh
569	569	subcortex	POC	preoptic_complex	rh
576	576	subcortex	THy	tuberal_hypothalamus	rh
592	592	subcortex	PHy	posterior_hypothalamus	rh
600	600	subcortex	Pit	pituitary	rh
604	604	subcortex	ZI-H	zona_incerta_and_lenticular_fascicles	rh
606	606	subcortex	Rt	reticular_thalamus	rh
607	607	subcortex	MThal	medial_thalamus	rh
620	620	subcortex	MLThal	midline_thalamus	rh
628	628	subcortex	VThal	ventral_thalamus	rh
641	641	subcortex	PThal	posterior_thalamus	rh
650	650	subcortex	GThal	geniculate_thalamus	rh
653	653	subcortex	EpiThal	epithalamus	rh
