task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	d3/b11fd1	819	FUNC_WF:FUNC_SLICE_TIMING (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:33:01.469	4.1s	3.7s	99.2%	967.1 MB	4.5 GB	100.7 MB	43.7 KB
3	3d/f855e4	836	ANAT_WF:ANAT_SYNTHESIS_T2W (example_001)	COMPLETED	0	2026-05-18 16:33:01.481	4.1s	3.8s	99.0%	967.1 MB	4.5 GB	100.6 MB	39.1 KB
1	6f/ebb277	822	FUNC_WF:FUNC_SLICE_TIMING (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:33:01.475	4.1s	3.7s	99.2%	966.2 MB	4.5 GB	100.7 MB	9.5 KB
5	97/d35cb6	1876	FUNC_WF:FUNC_MOTION_CORRECTION (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:33:05.575	13.7s	13.6s	100.0%	1.4 GB	5 GB	268.3 MB	55.4 MB
6	d4/cb092c	1915	FUNC_WF:FUNC_MOTION_CORRECTION (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:33:05.607	13.7s	13.6s	100.2%	1.4 GB	5 GB	268.5 MB	55.4 MB
8	91/d19959	4169	FUNC_WF:QC_MOTION_CORRECTION (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:33:19.338	4s	3.9s	99.7%	1004 MB	4.6 GB	106.4 MB	1.1 MB
7	22/6608f0	4140	FUNC_WF:QC_MOTION_CORRECTION (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:33:19.252	4.5s	4s	100.1%	1002 MB	4.6 GB	106.4 MB	813.6 KB
2	33/d083ec	829	ANAT_WF:ANAT_SYNTHESIS (example_001)	COMPLETED	0	2026-05-18 16:33:01.478	3m 7s	3m 7s	100.3%	1.8 GB	5.5 GB	282.1 MB	155.6 MB
9	69/b85b17	7249	FUNC_WF:FUNC_WITHIN_SES_COREG (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:36:08.486	15.6s	15.5s	150.2%	2.9 GB	7.1 GB	171.2 MB	363 MB
12	61/c27af8	8104	FUNC_WF:FUNC_AVERAGE_TMEAN (example_001)	COMPLETED	0	2026-05-18 16:36:24.076	3.8s	3.8s	99.7%	964.2 MB	4.5 GB	103.7 MB	434.5 KB
14	0e/f76f2d	8888	FUNC_WF:QC_WITHIN_SES_COREG (example_001)	COMPLETED	0	2026-05-18 16:36:27.920	4.5s	4s	99.9%	971.7 MB	4.5 GB	103.8 MB	275.1 KB
13	72/f353cd	8890	FUNC_WF:FUNC_BIAS_CORRECTION (example_001_)	COMPLETED	0	2026-05-18 16:36:27.922	11.2s	10.7s	100.1%	998.3 MB	4.6 GB	103 MB	1.2 MB
10	03/b6cbc6	8093	ANAT_WF:ANAT_CONFORM (example_001)	COMPLETED	0	2026-05-18 16:36:24.059	22.3s	22.2s	101.6%	2.3 GB	16 GB	207.1 MB	19.8 MB
16	04/d1fa62	11279	ANAT_WF:QC_CONFORM (example_001)	COMPLETED	0	2026-05-18 16:36:46.380	5.2s	4.7s	99.4%	1 GB	4.6 GB	117.1 MB	1.1 MB
15	0d/a34780	11281	ANAT_WF:ANAT_SKULLSTRIPPING (example_001)	COMPLETED	0	2026-05-18 16:36:46.383	19.3s	18.8s	182.7%	1.6 GB	12.4 GB	497.2 MB	11.9 MB
18	10/ae04b6	12617	ANAT_WF:QC_SKULLSTRIPPING (example_001)	COMPLETED	0	2026-05-18 16:37:05.695	4.8s	4.7s	99.6%	1 GB	4.6 GB	114.1 MB	2.2 MB
17	6d/a8efba	12609	ANAT_WF:QC_ATLAS_SEGMENTATION (example_001)	COMPLETED	0	2026-05-18 16:37:05.690	5.1s	4.6s	100.0%	1.2 GB	4.8 GB	106.5 MB	785.8 KB
19	d9/562228	12612	ANAT_WF:ANAT_BIAS_CORRECTION (example_001)	COMPLETED	0	2026-05-18 16:37:05.693	1m 14s	1m 14s	100.3%	1.4 GB	5 GB	149.1 MB	36.3 MB
21	b7/f70928	16068	ANAT_WF:ANAT_PUBLISH_PHASE1 (example_001)	COMPLETED	0	2026-05-18 16:38:20.204	4.3s	3.8s	99.2%	965 MB	4.5 GB	101.6 MB	10.2 KB
22	31/7a70ab	16065	ANAT_WF:QC_BIAS_CORRECTION (example_001)	COMPLETED	0	2026-05-18 16:38:20.201	4.9s	4.4s	99.7%	1 GB	4.6 GB	111.5 MB	1.5 MB
20	e0/76c075	16915	ANAT_WF:ANAT_REGISTRATION (example_001)	COMPLETED	0	2026-05-18 16:38:24.478	17s	16.9s	105.8%	2.2 GB	18 GB	263.5 MB	86.1 MB
26	36/3026be	18705	ANAT_WF:ANAT_APPLY_TRANSFORM_MASK (example_001)	COMPLETED	0	2026-05-18 16:38:41.495	4.1s	4s	99.6%	1 GB	4.7 GB	124.3 MB	88.3 KB
24	a6/95a9ab	18701	ANAT_WF:QC_REGISTRATION (example_001)	COMPLETED	0	2026-05-18 16:38:41.493	4.9s	4.9s	99.8%	1 GB	4.6 GB	120.1 MB	2.7 MB
25	08/a760dc	18699	ANAT_WF:ANAT_BACKPROJECT_ATLASES_TO_T1W (example_001)	COMPLETED	0	2026-05-18 16:38:41.490	11.3s	11.3s	100.1%	1.4 GB	5 GB	699.5 MB	17.1 MB
27	0b/d98578	20536	ANAT_WF:ANAT_BACKPROJECT_ATLASES_TO_SCANNER (example_001)	COMPLETED	0	2026-05-18 16:38:52.852	12.6s	12.2s	100.3%	1.6 GB	5.2 GB	321.3 MB	19.2 MB
11	e5/884dd4	8101	ANAT_WF:ANAT_T2W_TO_T1W_REGISTRATION (example_001)	COMPLETED	0	2026-05-18 16:36:24.071	2m 56s	2m 56s	100.4%	1.8 GB	5.5 GB	211.3 MB	138.7 MB
29	fc/80c005	22802	ANAT_WF:ANAT_APPLY_CONFORM (example_001)	COMPLETED	0	2026-05-18 16:39:19.801	6.6s	6s	99.9%	1.1 GB	4.7 GB	172.2 MB	13.1 MB
23	d2/51af26	16079	FUNC_WF:FUNC_COMPUTE_CONFORM (example_001_)	COMPLETED	0	2026-05-18 16:38:20.210	1m 23s	1m 23s	101.9%	1.9 GB	15.6 GB	154.4 MB	6.7 MB
31	03/4aa80b	24155	FUNC_WF:FUNC_COMPUTE_BRAIN_MASK (example_001_)	COMPLETED	0	2026-05-18 16:39:44.365	5.9s	5.6s	100.2%	1.8 GB	11.2 GB	132 MB	93.9 KB
30	c3/695270	24058	ANAT_WF:ANAT_BIAS_CORRECTION_T2W (example_001)	COMPLETED	0	2026-05-18 16:39:43.355	1m 15s	1m 15s	100.4%	1.4 GB	5 GB	165.9 MB	48.9 MB
35	39/e5ccb7	27402	ANAT_WF:ANAT_PUBLISH_T2W (example_001)	COMPLETED	0	2026-05-18 16:40:59.630	5.2s	3.7s	99.8%	963.9 MB	4.5 GB	101.6 MB	10.2 KB
38	60/2cb7f4	27404	ANAT_WF:QC_BIAS_CORRECTION_T2W (example_001)	COMPLETED	0	2026-05-18 16:40:59.632	6.5s	5s	100.1%	1011.5 MB	4.6 GB	130.9 MB	2.8 MB
36	15/72aad6	28327	ANAT_WF:ANAT_APPLY_TRANSFORMATION (example_001)	COMPLETED	0	2026-05-18 16:41:04.826	5.5s	5.4s	99.9%	1 GB	4.7 GB	153.1 MB	29.8 MB
37	bd/958588	28626	ANAT_WF:QC_T2W_TO_T1W_REGISTRATION (example_001)	COMPLETED	0	2026-05-18 16:41:06.099	5.4s	5.4s	100.1%	1.1 GB	4.6 GB	119 MB	2.6 MB
39	54/6d3fb3	29531	ANAT_WF:ANAT_T1WT2W_COMBINED (example_001)	COMPLETED	0	2026-05-18 16:41:10.326	5.4s	5.3s	100.0%	1.1 GB	4.7 GB	127.3 MB	11.8 MB
40	34/f6478e	29802	ANAT_WF:QC_T2W_TEMPLATE_SPACE (example_001)	COMPLETED	0	2026-05-18 16:41:11.539	4.8s	4.8s	99.6%	1 GB	4.6 GB	120.2 MB	2.5 MB
41	ef/b24d99	30496	ANAT_WF:QC_T1WT2W_COMBINED (example_001)	COMPLETED	0	2026-05-18 16:41:16.367	5.4s	5s	100.0%	1.1 GB	4.7 GB	139.3 MB	7.7 MB
33	c4/1bf251	27300	FUNC_WF:FUNC_APPLY_CONFORM (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:40:58.626	1m 14s	1m 14s	100.4%	2.1 GB	5.7 GB	464.6 MB	129.2 MB
42	d5/380f04	33520	FUNC_WF:QC_CONFORM_FUNC (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:42:13.303	5.1s	4.1s	99.9%	992.6 MB	4.6 GB	101.8 MB	147.6 KB
43	b9/7b1e8d	33518	FUNC_WF:QC_SKULLSTRIPPING_FUNC (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:42:13.299	5.3s	4.2s	99.5%	976.7 MB	4.5 GB	101.5 MB	172.2 KB
32	a1/31c4d4	33420	FUNC_WF:FUNC_APPLY_CONFORM (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:42:12.296	1m 1s	1m 1s	100.3%	1.6 GB	5.2 GB	157.2 MB	39.5 MB
45	2a/b8458c	36395	FUNC_WF:QC_CONFORM_FUNC (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:43:13.318	4.7s	3.9s	100.0%	993.2 MB	4.6 GB	101.8 MB	147.6 KB
44	bb/5dca4c	36391	FUNC_WF:QC_SKULLSTRIPPING_FUNC (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:43:13.316	4.8s	4.1s	99.6%	1001 MB	4.6 GB	101.5 MB	172.2 KB
34	eb/80b1a5	36387	FUNC_WF:FUNC_COMPUTE_REGISTRATION (example_001_)	COMPLETED	0	2026-05-18 16:43:13.310	5.2s	5.2s	112.5%	2 GB	16.9 GB	111.3 MB	5.6 MB
28	69/4056d8	21712	ANAT_WF:SURF_RECON_WF:ANAT_SURFACE_RECONSTRUCTION (example_001)	COMPLETED	0	2026-05-18 16:39:05.488	11m 29s	11m 29s	100.6%	2 GB	6.1 GB	720.6 MB	254.3 MB
49	aa/f5df99	46539	FUNC_WF:FUNC_APPLY_TRANSFORMS_MASK (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:50:34.952	4.3s	4.2s	108.0%	948.4 MB	4.7 GB	130 MB	204.8 KB
51	84/6e047d	46646	ANAT_WF:SURF_RECON_WF:QC_SURF_RECON_TISSUE_SEG (example_001)	COMPLETED	0	2026-05-18 16:50:35.955	5.9s	5.8s	113.1%	1.8 GB	10.4 GB	122.7 MB	19.7 MB
47	8a/2664b2	47104	FUNC_WF:FUNC_APPLY_TRANSFORMS_MASK (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:50:39.248	4.1s	4s	108.0%	965.5 MB	4.7 GB	130 MB	204.8 KB
50	53/5b8e4f	47528	ANAT_WF:SURF_RECON_WF:QC_CORTICAL_SURF_AND_MEASURES (example_001)	COMPLETED	0	2026-05-18 16:50:41.832	11.4s	11.4s	169.1%	1.5 GB	60.1 GB	146.6 MB	2.7 MB
48	ff/363e66	47779	FUNC_WF:FUNC_APPLY_TRANSFORMS (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:50:43.380	23.2s	23.1s	133.7%	2.7 GB	6.7 GB	846.1 MB	413 MB
54	e4/679c54	50834	FUNC_WF:FUNC_COMPUTE_TSNR (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:51:06.581	8.2s	8s	100.0%	1.5 GB	5.1 GB	360.8 MB	121.1 KB
53	f5/6c8ac3	50839	FUNC_WF:QC_REGISTRATION_FUNC (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:51:06.584	8.7s	5.6s	98.8%	1.3 GB	4.9 GB	255.5 MB	1.3 MB
52	4d/caba7d	52195	FUNC_WF:QC_REGISTRATION_FUNC_INTERMEDIATE (example_001_task-rest_run-1)	COMPLETED	0	2026-05-18 16:51:14.804	4.1s	4s	99.9%	1022.5 MB	4.6 GB	102.8 MB	1.1 MB
46	b5/6179ef	50825	FUNC_WF:FUNC_APPLY_TRANSFORMS (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:51:06.567	23.8s	23.6s	133.2%	2.7 GB	6.7 GB	935.6 MB	412.9 MB
55	f0/d27f8a	52942	FUNC_WF:QC_REGISTRATION_FUNC_INTERMEDIATE (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:51:30.401	4.3s	4.2s	99.9%	975.7 MB	4.5 GB	102.8 MB	1.1 MB
57	96/62df7f	52946	FUNC_WF:FUNC_COMPUTE_TSNR (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:51:30.405	8.3s	8.2s	100.1%	1.5 GB	5.1 GB	360.7 MB	107.9 KB
56	0d/04c769	52939	FUNC_WF:QC_REGISTRATION_FUNC (example_001_task-rest_run-2)	COMPLETED	0	2026-05-18 16:51:30.398	8.4s	5.7s	99.9%	1.3 GB	4.9 GB	255.5 MB	1.3 MB
58	39/e98f57	54035	FUNC_WF:FUNC_TSNR_SESSION_AVERAGE (example_001)	COMPLETED	0	2026-05-18 16:51:38.694	3.7s	3.6s	99.9%	970 MB	4.5 GB	100.4 MB	108 KB
59	4b/b7d22a	54317	FUNC_WF:FUNC_TSNR_SURF_PROJECTION (example_001)	COMPLETED	0	2026-05-18 16:51:42.390	4.9s	4.6s	100.0%	1 GB	4.6 GB	115.2 MB	1.1 MB
60	f8/11b81b	54658	FUNC_WF:QC_TSNR (example_001)	COMPLETED	0	2026-05-18 16:51:47.308	6s	5.7s	159.5%	1.2 GB	9.5 GB	109.8 MB	888.1 KB
61	c5/936571	55168	QC_GENERATE_REPORT (example)	COMPLETED	0	2026-05-18 16:51:53.324	4s	3.6s	99.7%	964.7 MB	4.5 GB	99.6 MB	32.4 KB
